Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.5518228700317,12.7878432952467,5.38826741026672,6.73100355721013,19.6811468523496,14.8544491278297,17.9833820993872,18.3554054242086,9.79068586163605,13.6573397355224,7.82655196368533,4.53015394715865,2.13510778864108,1.97948269653776,2.49748726409599,1.80000000052121
Albania,ALB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,12.0453824675596,2.38765631553639,-1.43020048282449,-1.16712180315747,0.936353418145643,4.66723844269865,-2.82332561781418,0.145109017002127,11.8760212251161,-29.2966073548946,-14.1468315059751,4.36904446910631,15.5451748868282,16.6205748129056,-3.79781744081696,2.21884646869579,-1.06507976518651,4.04150072226474,22.0765104711403,0.805397790657807,7.12753351270933,3.23175934068077,0.943239429156677,6.31634338562171,9.84344352528078,5.2951915291588,8.71940987674287,4.91304807810464,7.16113073792248,2.54740016957091,3.03478896648861,3.19536746709865,0.307895818514609,4.93181891547603,2.76344283476135,4.2423607746446,6.00863827292864,2.77734373276665
Algeria,DZA,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.06134665093632,4.71600258458544,6.43454022744925,5.0352468363605,5.50388041264669,7.24350247607879,6.33389407729432,10.0093086154142,8.71961059570185,8.14334085746032,7.45454265951808,8.60338998592664,4.98911843173273,7.12800256991028,7.39375054205691,4.91868730861613,2.62874975789661,3.22475368395727,3.53538841174145
American Samoa,ASM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1714426437365,7.48241111692974,8.61194831565402,8.61783331905477,5.60291005313509,12.9181140490934,8.96823872589985,6.64232608915727,10.5228018453783,5.66210136644105,7.74044274125707,10.076657487069,-4.83799410160569,-5.24318505164952,1.48098846162196,0.261255048181866
Antigua and Barbuda,ATG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,2.53610855183206,9.36152815833179,6.51086769951257,2.87274427977609,3.2585517616575,7.58879584166966,10.9484899769032,6.33023724870259,6.1656049823176,3.98657739578263,4.71839840576213,4.89946804046171,4.57402709623172,2.36772500406657,1.47446961472902,7.99214802416518,6.85932789252905,-5.92089444198224,5.4240228248259,6.27118531295091,4.95418613695622,3.71038083278859,10.4134607453264,-3.74218158561823,-0.698106243166222,5.33370409343385,4.19978027650549,5.11712159440737,7.15960488382896,7.20995971018796,1.49524169501785,-11.2669270552187,-4.52990103818833,0.0915746256887218,2.52870525208269,-0.0208213527930354,3.95390580838382,3.74532549797758,3.81149425287357,1.27773594933345,5.22488247512847
Argentina,ARG,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,10.5888875490485,4.9495359546307,0.652333016715502,3.8112325243502,5.26051752633174,0.977642728048565,-3.40148878797167,6.0467580148464,-1.78892736548885,11.0403357375521,8.42872821781833,-2.31321686621816,-0.650503347259075,3.85719167339742,2.01312440060451,-3.83980996534807,5.13630839854045,3.02241781718998,-0.37560740465706,-5.53775166366522,-1.71003630748842,9.38858027648976,6.94198411085642,7.28931943351235,6.38903154057013,-2.34485173434258,5.67733231142678,7.87505670699406,4.70110765094836,-1.94293659354221,0.34309149290506,-4.34830176989163,-9.71528992438883,4.2458321006863,6.87726660954017,9.10051330561356,8.50542758089313,9.08867196299568,5.12903142266356,-2.05463956842684,7.08982350862715,6.44482691116424,0.668753019040167,1.90976203783246,-1.64437754291544,2.66013801336062,-0.00873604146947571,2.29707501792495,-0.579234087291539
Armenia,ARM,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.769695825469569,57.733994384976,-22.6886605255309,7.14531096425853,15.6737611189705,5.47976356927981,4.84978684192909,4.50551574056237,4.34165095878831,-6.13459071374513,9.94640170051515,16.3886016984007,12.5760650587056,12.8897504544478,16.4953849666896,22.1638588897016,10.7502972170406,5.33501114437686,-6.83617304437111,8.52291273274635,-1.73966179657565,5.35797721881752,2.74998030236952,6.79032673067887,0.978930331012549,3.83955114393213,11.1279077178356,9.59754964913763
Aruba,ABW,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
