Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.69785000469081,4.16077274115791,3.27953741203504,3.19460792795985,4.53719174818832,2.34623535568655,5.29629020202573,3.84039145629976,3.057431267586,6.03590682962985,2.28586195969504,-1.83650258034196,0.409391082824413,1.08793953115092,0.748720444738609,..
Albania,ALB,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-32.2999997992391,41.4000002876262,12.9999995032935,6.89999995046193,5.80000012923149,4.19999969463254,19.3000001299524,5.99999983623417,13.9000000955067,13.0000001500281,12.7000001665969,-5.00000016137915,2.89998296889398,11.5761143301835,10.4717879625543,-15.6574028698247,9.8464016164139,9.37334838316468,4.96136461384047,4.54115935663381,12.4314008819233,6.272613152947
Algeria,DZA,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.5649835155301,-0.407982809607191,4.34469304153249,6.87943951567229,3.88758962366668,5.23148223073918,-0.942358827035321,0.615957795933042,-1.05886181585227,-3.67575212650671,-0.806558374123284,-1.03768226743797,-1.26746818761107,-2.90841773384285,0.747911956871121,1.84472847408821,6.02807438821932,0.182175252398324,-2.59265878377481
American Samoa,ASM,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.35167053380847,16.5756019688353,6.12529509374116,6.54832983146905,2.01655631479898,5.91460460307525,6.80323135845472,9.55507273325966,9.08109990171442,9.5625300903715,7.72425363180396,-9.91694611410733,12.0243364392829,11.6381106729943,..,..
Antigua and Barbuda,ATG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,20.2564085866269,15.636107719653,18.8076176362042,21.883086080314,0,2.16468549520414,4.02991331464769,2.99520571525858,3.99379624434562,3.98956088434738,2.11545451885209,2.98454912927855,3.00034192976928,-5.49477625097276,-5.98949445597754,-4.992657455276,1.99990231765723,-4.9979156573566,4.04703454655424,5.98973026267046,5.50471294837533,4.48692629749586,2.99582720583753,1.88221755489309,5.31503474562483,1.47040974182318,4.80924397893006,4.87409605428344,12.4223393562378,9.14065263724795,-9.13528445163298,10.6132858184864,-8.80444618435492,2.76213933849401,-13.8503680876562,15.6995230524642,3.88182755066988,1.52116402116403,6.40065146579806,-2.44910454615032,6.44908206496157
Argentina,ARG,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,-2.57170830576105,6.16598174748529,3.99457905264782,3.96624123810794,5.87410976379563,-2.55277852345408,-3.03373691518586,7.81368671702103,-10.5226225416604,9.94467900936409,2.21732151363783,-12.0708482607523,-2.81521694550382,6.81790126770676,2.47491128759296,-9.44993086580652,10.0512773297933,1.07902573993759,-4.89487856933125,-7.48725994691499,-5.40705714413501,10.3761658025493,10.1887138772013,3.53108382213738,4.49963606306558,-7.16458660336755,6.45187775090916,9.15143351256194,1.84875601583445,-7.92886731901325,-3.82321832895714,-7.36198740953409,-10.9552207765253,15.9671880038979,11.9760561080591,7.42315923895535,9.09978637282907,7.53396750618644,3.62110044950312,-7.25982438527079,10.9079420676975,7.66660903237164,-2.91332628588361,1.50353167175462,-5.05404738502804,0.765932390755125,-5.60113973937672,2.5694244436508,-4.99888585208797
Armenia,ARM,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-3.99999673945996,-59.700001424494,8.90000506449013,9.60000077293755,2.599999646344,1.09961508053236,1.30017893457783,-2.22635743736018,5.4000004240857,6.59999996515594,9.84323867537515,17.2492241671351,16.9831518581018,-2.54334397156393,8.83825544240094,-0.461356603231749,1.59481168579414,0.899999993938394,-7.11173499774654,12.0999999843922,13.7000000067702,4.09999999101657,7.69999999999999,6,-5.5,11.1000000000001,11.7999999999999,11.0999999999999
Aruba,ABW,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
