Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Broad money growth (annual %),FM.LBL.BMNY.ZG,7.21213371853075,11.3078625733808,13.9374027321459,7.63014114433146,13.4734021926887,12.4558078846811,24.1960970650636,27.9960851480303,16.2629120382599,18.5640360291414,16.8532923185537,17.4498215541832,17.9587060101981,..,..,10.409507083737,12.3295614503191,50.6904779154956,34.5308326648949,37.1566475203784,40.5945754845902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.3951640126071,31.3838171170012,33.045067969931,26.9471277001623,21.309168363765,8.7277294523166,9.9144833110801,8.13557154538606,3.07902196833481,9.72542825974532,4.09327496841465,2.57415378471386
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.8198670705792,43.8367383405801,28.4660179098297,20.6393565647998,22.2711083945931,12.0292623857369,19.9064558568693,3.74037704148182,8.67330285161073,13.4612186361763,14.1252146255691,16.0462388509011,13.6750341350698,7.66753342748908,6.83707245310776,12.4857998554167,9.16778879503815,4.97687240106527,2.27610578506511,4.01312468450278,1.76472064865408,3.88758243023237,0.274642647966695,-0.221006685452235
Algeria,DZA,Broad money growth (annual %),FM.LBL.BMNY.ZG,12.5118320282248,6.50095602294455,30.262118491921,12.2553613760406,26.5592770847657,30.9584788513776,29.2046936114733,19.1427391982387,29.8512059440627,18.1295305296551,17.380065002698,16.6935716652947,26.326108067501,20.3321488142722,17.3517110037004,14.9668493249177,1.40980970249263,13.6025654579413,13.598117070447,5.18218899868585,11.4156555150626,20.8027985226783,31.2748797453857,7.29664105088382,15.7048390658407,9.46358191996781,14.6446455240271,18.2594753905099,19.5726202628557,13.9471735991383,14.131502836251,54.0514086919074,18.0521153645852,16.3061556803216,10.4512234983418,11.6936035353135,19.6447766293454,23.090739222132,16.0370822898722,4.84083509704069,13.5484317301271,19.9070032552161,10.9369170859084,8.40999983699717,14.4236738703043,0.297131027590294,0.815774502444313,8.38085499749667,11.1022592012153
American Samoa,ASM,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4105.57281775889,71.9443089642937,57.6481343857133,528.194325839382,303.735498573204,163.003103910838,156.340680459845,68.0983143555558,48.5519653338355,60.705994384453,59.8509252529627,49.4214363911471,104.56612415769,21.4756808800047,5.28780092808811,37.1469560291686,4.8981874452368,14.1465956464582,16.1891972472028,11.7763134275236,13.4682422090455,0.625449002375784,20.428059834929
Antigua and Barbuda,ATG,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,8.64339859412143,-3.72245020612458,10.4257498171178,15.4777677672373,11.1896402701607,15.9397658324505,13.4777526596534,23.8177901407567,5.67515751423118,11.3821365632605,18.1339380002289,36.497099613481,17.9007840958964,13.3403032281684,3.63293971907531,15.3614917570014,10.0938973674755,7.22801185081734,8.89443637620615,19.7103044019488,-2.10790227694647,7.1463486339498,14.8104932261612,24.8354371368629,6.04903137428562,4.93193239722394,5.35397241780051,15.5780815865013,6.13443169150141,8.84654076810275,11.5908378215464,11.366031013988,3.30287762237559,-9.7929564527729,0.245680656022543,1.46543123077861,2.58648629451995,1.34360400987264,1.39123986457518,5.81672936052775,-1.24510914792407,7.24704264343661,7.2084726309942
Argentina,ARG,Broad money growth (annual %),FM.LBL.BMNY.ZG,20.8406304728547,8.69565217391303,110,74.6031746031746,54.5454545454545,152.941176470588,353.488372093023,227.179487179487,172.570532915361,187.406555491662,91.7567026810724,82.5803422370618,165.285595908221,395.924258417526,654.965618796506,428.151946831727,113.015323166984,163.142487156202,442.805705899611,2235.18190644582,1113.27240588928,141.337040313408,62.4862543855056,46.4808250080567,17.6402701691858,-2.80555086350306,18.820560554349,25.5347378149256,10.4880929410016,4.0855896589592,1.53103363312449,-19.4362184816831,19.7088538926378,29.6348527788152,21.4273104900815,21.513918560906,20.2627350951633,24.4656256111237,8.06469999443141,16.9999162699207,33.1075892203555,26.0316631325219,34.8221143521781,27.0810601586032,29.8296476212988,39.5718604684324,41.5485192639903,30.0843370693329,..
Armenia,ARM,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1076.76790921552,740.358461858575,64.2855740481696,35.0787317120399,29.200443865192,36.7136562551957,13.9705114029099,38.553947022607,4.28480302261725,33.9768529138608,10.3507429350875,22.2931988518598,27.8412085694888,32.8770966480726,42.3287538629898,2.37863502186324,15.1461238858247,11.8278496134327,23.655416685468,19.4668107641705,14.7811031009389,8.33605579967839,10.839885076372,17.4826502352117,18.4709708758154,7.44592080287185
Aruba,ABW,Broad money growth (annual %),FM.LBL.BMNY.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.3087869085735,41.8751979727589,17.4592542978343,23.3795856301083,17.2700662455708,16.8407777193904,12.5085451634375,6.39389511933339,12.5904781227516,5.226239568586,3.15133179207616,4.59034814796596,13.0817715440935,10.4169956582854,2.30547075521059,5.88743577633048,10.4857111811366,8.87588512981904,3.21575357933246,6.19174725418982,2.37349596176034,3.3005957172758,16.5640586034913,5.74962393448103,-0.281333965544492,0.126798960248526,8.25049072373837,-3.72016846045859,5.59842041312272,9.45257889135,9.50090672553812,1.76411290322581,3.23120828321423
